State_UT,year,Primary_Boys_Dropout,Primary_Girls_Dropout,Primary_Total_Dropout,Upper Primary_Boys,Upper Primary_Girls,Upper Primary_Total,Secondary _Boys,Secondary _Girls,Secondary _Total,HrSecondary_Boys,HrSecondary_Girls,HrSecondary_Total,Primary_Boys_GER,Primary_Girls_GER,Primary_Total_GER,Upper_Primary_Boys,Upper_Primary_Girls,Upper_Primary_Total,Secondary_Boys,Secondary_Girls,Secondary_Total,Higher_Secondary_Boys,Higher_Secondary_Girls,Higher_Secondary_Total,Computers_Primary_Only,Computers_U_Primary_only,Computers_All Schools,Computers_Sec_Only,Computers_HrSec_Only,Electricity_Primary_Only,Electricity_U_Primary_Only,Electricity_Sec_Only,Electricity_HrSec_Only,Electricity_All Schools,Water_Primary_Only,Water_U_Primary_Only,Water_Sec_Only,Water_HrSec_Only,Water_All Schools,Boys_toilet_Primary_Only,Boys_toilet_U_Primary_Only,Boys_toilet_Sec_Only,Boys_toilet_HrSec_Only,Boys_toilet_All Schools,Girls_Toilet_Primary_Only,Girls_Toilet_U_Primary_Only,Girls_Toilet_Sec_Only,Girls_Toilet_HrSec_Only,Girls_Toilet_All Schools,Overall_Dropout,Overall_GER,Infrastructure_Score
Andhra Pradesh,2013-14,4.31,4.39,4.35,3.46,4.12,3.78,11.95,13.37,12.65,12.65,10.85,11.79,96.62,96.87,96.74,82.81,84.38,83.57,73.76,76.77,75.2,59.83,60.83,60.3,12.73,45.45,60.0,19.32,29.57,87.66,100.0,97.5,91.27,90.34,86.89,90.91,97.5,97.52,90.35,53.03,45.45,59.26,73.44,56.88,76.16,81.82,85.19,75.47,81.31,8.1425,78.9525,75.776
Andhra Pradesh,2014-15,6.57,6.89,6.72,5.09,5.32,5.2,15.81,15.6,15.71,8.29,5.85,7.64,88.31,88.11,88.21,79.34,79.61,79.47,71.46,73.42,72.4,51.27,52.03,51.63,10.29,50.0,70.97,41.6,28.06,91.08,100.0,93.55,93.21,92.76,91.85,100.0,100.0,98.37,93.74,57.91,75.0,80.65,86.54,65.34,97.79,100.0,96.77,94.73,98.07,8.8175,72.92750000000001,84.17600000000002
Arunachal Pradesh,2014-15,11.51,10.09,10.82,5.31,8.08,6.71,18.33,15.81,17.11,19.37,17.44,18.42,128.78,127.45,128.13,120.11,125.01,122.53,93.11,90.1,91.62,68.0,69.44,68.71,4.06,48.78,0.0,0.0,24.68,21.53,82.93,0.0,0.0,38.6,73.34,97.56,0.0,0.0,80.64,94.13,100.0,0.0,0.0,95.97,94.92,100.0,0.0,0.0,96.89,13.265,102.74749999999999,62.42
Assam,2013-14,8.19,6.68,7.44,7.6,6.54,7.05,28.59,32.1,30.43,7.62,6.83,7.24,111.77,115.16,113.43,87.85,98.69,93.13,65.6,77.2,71.21,31.78,34.27,32.94,1.08,18.29,25.89,16.93,8.85,9.51,28.18,43.79,85.66,19.39,78.32,79.55,88.3,96.22,80.3,60.81,51.47,0.0,0.0,60.17,77.02,64.47,0.0,0.0,75.28,13.040000000000001,77.6775,52.205999999999996
Assam,2014-15,16.07,14.65,15.36,10.45,10.56,10.51,24.64,29.28,27.06,8.29,5.85,7.64,113.39,116.6,114.96,90.1,101.94,95.86,69.36,80.57,74.78,32.71,35.4,33.97,1.13,18.1,33.32,25.69,9.83,11.5,33.0,47.12,85.54,22.4,81.76,83.08,86.78,96.92,83.36,55.26,44.66,48.36,68.69,54.8,77.97,62.79,59.73,72.31,74.86,15.142499999999998,79.89250000000001,53.748000000000005
Bihar,2013-14,2.38,1.79,2.09,2.77,3.19,2.98,24.67,26.05,25.33,8.29,5.85,7.64,95.03,101.15,97.96,80.6,94.92,87.24,57.66,62.96,60.08,23.33,24.17,23.7,1.42,10.79,17.77,22.5,5.47,4.12,16.19,30.6,60.83,9.96,87.75,99.28,96.96,97.92,92.53,63.04,85.61,0.0,0.0,73.42,63.43,92.59,0.0,0.0,75.41,9.51,67.24499999999999,53.818000000000005
Bihar,2014-15,0.35,1.79,2.09,4.14,4.01,4.08,25.21,26.62,25.9,8.29,5.85,7.64,98.09,104.35,101.09,89.84,107.7,98.07,65.08,73.85,69.09,31.91,31.66,31.79,2.29,11.65,23.02,36.74,8.19,13.76,34.96,34.88,64.86,25.22,87.54,99.25,98.02,96.81,92.74,61.95,85.77,76.91,86.59,73.92,63.46,91.47,83.4,88.18,76.3,9.9275,75.01,58.239999999999995
Chandigarh,2013-14,3.4,2.83,3.05,0.72,1.55,1.08,16.34,15.29,15.445,13.24,8.49,11.28,88.42,96.09,91.85,99.93,103.02,101.27,92.08,92.16,92.11,90.5,92.88,91.49,54.55,0.0,0.0,0.0,95.83,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,7.713749999999999,94.18,80.0
Chandigarh,2014-15,3.4,2.83,3.05,0.01,0.96,0.44,16.34,15.29,15.445,12.1,8.41,10.55,83.62,91.49,87.11,94.68,103.15,98.33,89.05,90.53,89.69,90.05,91.3,90.57,45.45,0.0,0.0,0.0,95.43,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,7.37125,91.425,80.0
Chhattisgarh,2013-14,1.45,1.38,1.42,4.09,3.51,3.8,24.1,22.72,23.41,8.29,2.13,7.64,104.06,103.93,103.99,100.35,101.1,100.72,96.68,99.32,97.99,58.27,56.16,57.23,2.64,13.04,17.77,0.0,9.8,49.75,62.85,47.25,43.48,57.28,95.51,94.82,86.71,86.96,95.47,80.95,84.17,96.67,100.0,82.85,93.1,95.39,98.41,100.0,94.1,9.067499999999999,89.9825,69.494
