State_UT,year,Computers_Primary_Only,Computers_U_Primary_Only,Computers_Sec_Only,Computers_HrSec_Only,Computers_All Schools,Electricity_Primary_Only,Electricity_U_Primary_Only,Electricity_Sec_Only,Electricity_HrSec_Only,Electricity_All Schools,Water_Primary_Only,Water_U_Primary_Only,Water_Sec_Only,Water_HrSec_Only,Water_All Schools,Boys_toilet_Primary_Only,Boys_toilet_U_Primary_Only,Boys_toilet_Sec_Only,Boys_toilet_HrSec_Only,Boys_toilet_All Schools,Girls_Toilet_Primary_Only,Girls_Toilet_U_Primary_Only,Girls_Toilet_Sec_Only,Girls_Toilet_HrSec_Only,Girls_Toilet_All Schools
Andaman & Nicobar Islands,2013-14,30.4,0.0,0.0,0.0,53.06,82.42,0.0,0.0,0.0,88.86,98.17,0.0,0.0,0.0,98.69,91.58,0.0,0.0,0.0,94.52,89.74,0.0,0.0,0.0,93.44
Andaman & Nicobar Islands,2014-15,30.94,100.0,0.0,0.0,57.25,80.72,100.0,0.0,0.0,88.89,99.55,100.0,0.0,0.0,99.52,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0
Andaman & Nicobar Islands,2015-16,28.44,0.0,0.0,0.0,57.0,82.11,0.0,0.0,0.0,90.1,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0
Andhra Pradesh,2013-14,12.73,45.45,60.0,19.32,29.57,87.66,100.0,97.5,91.27,90.34,86.89,90.91,97.5,97.52,90.35,53.03,45.45,59.26,73.44,56.88,76.16,81.82,85.19,75.47,81.31
Andhra Pradesh,2014-15,10.29,50.0,70.97,41.6,28.06,91.08,100.0,93.55,93.21,92.76,91.85,100.0,100.0,98.37,93.74,57.91,75.0,80.65,86.54,65.34,97.79,100.0,96.77,94.73,98.07
Andhra Pradesh,2015-16,11.47,50.0,65.22,61.43,30.59,91.65,100.0,91.3,95.8,93.5,93.89,100.0,100.0,98.53,95.37,99.58,100.0,100.0,100.0,99.69,99.6,100.0,100.0,100.0,99.72
Arunachal Pradesh,2013-14,4.32,46.51,0.0,100.0,24.28,19.72,79.07,0.0,100.0,36.35,72.32,95.35,0.0,100.0,79.79,38.24,0.0,0.0,0.0,48.73,67.77,100.0,0.0,0.0,76.9
Arunachal Pradesh,2014-15,4.06,48.78,0.0,0.0,24.68,21.53,82.93,0.0,0.0,38.6,73.34,97.56,0.0,0.0,80.64,94.13,100.0,0.0,0.0,95.97,94.92,100.0,0.0,0.0,96.89
Arunachal Pradesh,2015-16,4.06,50.0,0.0,0.0,24.36,22.64,84.0,0.0,100.0,39.54,73.85,96.0,0.0,100.0,81.47,93.55,100.0,0.0,100.0,95.65,94.41,100.0,0.0,100.0,96.56
Assam,2013-14,1.08,18.29,25.89,16.93,8.85,9.51,28.18,43.79,85.66,19.39,78.32,79.55,88.3,96.22,80.3,60.81,51.47,0.0,0.0,60.17,77.02,64.47,0.0,0.0,75.28
