State_UT,year,Primary_Only,Primary_with_U_Primary,Primary_with_U_Primary_Sec_HrSec,U_Primary_Only,U_Primary_With_Sec_HrSec,Primary_with_U_Primary_Sec,U_Primary_With_Sec,Sec_Only,Sec_with_HrSec.,HrSec_Only,All Schools,Electricity_Primary_Only,Electricity_Primary_with_U_Primary,Electricity_Primary_with_U_Primary_Sec_HrSec,Electricity_U_Primary_Only,Electricity_U_Primary_With_Sec_HrSec,Electricity_Primary_with_U_Primary_Sec,Electricity_U_Primary_With_Sec,Electricity_Sec_Only,Electricity_Sec_with_HrSec.,Electricity_HrSec_Only,Electricity_All Schools,Water_Primary_Only,Water_Primary_with_U_Primary,Water_Primary_with_U_Primary_Sec_HrSec,Water_U_Primary_Only,Water_U_Primary_With_Sec_HrSec,Water_Primary_with_U_Primary_Sec,Water_U_Primary_With_Sec,Water_Sec_Only,Water_Sec_with_HrSec.,Water_HrSec_Only,Water_All Schools,Boys_Primary_Only,Boys_Primary_with_U_Primary,Boys_Primary_with_U_Primary_Sec_HrSec,Boys_U_Primary_Only,Boys_U_Primary_With_Sec_HrSec,Boys_Primary_with_U_Primary_Sec,Boys_U_Primary_With_Sec,Boys_Sec_Only,Boys_Sec_with_HrSec.,Boys_HrSec_Only,Boys_All Schools,Girls_Primary_Only,Girls_Primary_with_U_Primary,Girls_Primary_with_U_Primary_Sec_HrSec,Girls_U_Primary_Only,Girls_U_Primary_With_Sec_HrSec,Girls_Primary_with_U_Primary_Sec,Girls_U_Primary_With_Sec,Girls_Sec_Only,Girls_Sec_with_HrSec.,Girls_HrSec_Only,Girls_All Schools
Andaman & Nicobar Islands,2013-14,30.4,73.68,89.74,0.0,100.0,97.92,0.0,0.0,100.0,0.0,53.06,82.42,96.05,100.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,88.86,98.17,98.68,100.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,98.69,91.58,97.37,100.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,94.52,89.74,97.37,100.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,93.44
Andaman & Nicobar Islands,2014-15,30.94,76.54,92.11,100.0,94.74,100.0,0.0,0.0,100.0,0.0,57.25,80.72,96.3,100.0,100.0,100.0,100.0,0.0,0.0,100.0,0.0,88.89,99.55,98.77,100.0,100.0,100.0,100.0,0.0,0.0,100.0,0.0,99.52,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0
Andaman & Nicobar Islands,2015-16,28.44,78.57,92.5,0.0,94.74,100.0,0.0,0.0,100.0,0.0,57.0,82.11,97.62,100.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,90.1,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0
Andhra Pradesh,2013-14,12.73,42.72,86.99,45.45,17.07,68.18,73.23,60.0,33.33,19.32,29.57,87.66,93.57,99.32,100.0,67.48,96.19,96.15,97.5,100.0,91.27,90.34,86.89,94.53,99.66,90.91,87.26,98.84,96.02,97.5,100.0,97.52,90.35,53.03,62.58,82.05,45.45,64.11,76.24,60.63,59.26,85.71,73.44,56.88,76.16,89.46,97.2,81.82,68.68,90.68,92.09,85.19,71.43,75.47,81.31
Andhra Pradesh,2014-15,10.29,44.15,88.46,50.0,62.22,68.38,76.59,70.97,66.67,41.6,28.06,91.08,94.7,100.0,100.0,86.11,97.6,97.11,93.55,83.33,93.21,92.76,91.85,96.07,100.0,100.0,90.0,99.56,97.48,100.0,100.0,98.37,93.74,57.91,76.51,96.0,75.0,93.33,91.43,77.99,80.65,60.0,86.54,65.34,97.79,98.81,100.0,100.0,99.44,99.57,99.03,96.77,100.0,94.73,98.07
Andhra Pradesh,2015-16,11.47,44.81,89.47,50.0,72.41,69.92,77.08,65.22,75.0,61.43,30.59,91.65,95.62,100.0,100.0,90.23,97.09,97.58,91.3,100.0,95.8,93.5,93.89,97.02,100.0,100.0,91.95,99.66,98.13,100.0,100.0,98.53,95.37,99.58,99.88,98.96,100.0,100.0,99.53,99.91,100.0,100.0,100.0,99.69,99.6,99.89,100.0,100.0,100.0,99.92,99.92,100.0,100.0,100.0,99.72
Arunachal Pradesh,2013-14,4.32,45.05,90.63,46.51,98.0,89.11,75.0,0.0,52.17,100.0,24.28,19.72,53.59,92.19,79.07,92.0,81.68,81.25,0.0,100.0,100.0,36.35,72.32,89.46,100.0,95.35,94.0,95.54,100.0,0.0,100.0,100.0,79.79,38.24,61.17,89.06,0.0,70.0,82.32,95.45,0.0,0.0,0.0,48.73,67.77,88.88,100.0,100.0,98.0,97.52,100.0,0.0,0.0,0.0,76.9
Arunachal Pradesh,2014-15,4.06,43.83,95.24,48.78,100.0,89.62,81.58,0.0,62.96,0.0,24.68,21.53,54.96,96.83,82.93,95.92,81.13,92.11,0.0,100.0,0.0,38.6,73.34,89.99,100.0,97.56,89.8,95.28,94.74,0.0,88.89,0.0,80.64,94.13,98.59,100.0,100.0,100.0,99.52,96.43,0.0,100.0,0.0,95.97,94.92,99.74,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,96.89
Arunachal Pradesh,2015-16,4.06,41.2,94.03,50.0,98.11,86.16,84.62,0.0,71.88,0.0,24.36,22.64,53.87,95.52,84.0,94.34,82.59,87.18,0.0,100.0,100.0,39.54,73.85,90.13,100.0,96.0,96.23,97.77,97.44,0.0,93.75,100.0,81.47,93.55,98.83,98.51,100.0,96.23,99.55,92.86,0.0,100.0,100.0,95.65,94.41,99.59,100.0,100.0,100.0,99.55,97.44,0.0,100.0,100.0,96.56
Assam,2013-14,1.08,29.12,64.75,18.29,80.48,44.8,56.01,25.89,36.81,16.93,8.85,9.51,51.14,81.15,28.18,87.61,72.54,72.64,43.79,68.73,85.66,19.39,78.32,91.18,95.9,79.55,97.01,93.25,93.46,88.3,88.6,96.22,80.3,60.81,69.66,87.5,51.47,72.69,82.42,67.94,0.0,0.0,0.0,60.17,77.02,82.2,91.8,64.47,85.81,87.1,79.33,0.0,0.0,0.0,75.28
Assam,2014-15,1.13,30.75,75.0,18.1,82.18,50.5,61.4,33.32,36.97,25.69,9.83,11.5,56.42,90.91,33.0,89.43,76.95,75.75,47.12,59.51,85.54,22.4,81.76,92.63,93.94,83.08,98.19,94.76,94.17,86.78,85.56,96.92,83.36,55.26,69.61,91.34,44.66,75.97,85.63,67.36,48.36,55.96,68.69,54.8,77.97,82.94,93.94,62.79,88.34,89.88,78.06,59.73,71.79,72.31,74.86
Assam,2015-16,1.18,29.69,78.23,18.09,82.53,53.37,64.06,37.77,37.93,33.62,10.76,12.76,58.5,92.34,34.77,93.6,79.84,83.41,64.22,67.08,87.09,25.55,84.64,93.19,96.37,86.06,97.96,96.36,95.39,89.62,89.34,97.44,86.21,85.83,84.14,90.95,71.07,89.74,88.28,82.8,72.82,73.55,80.21,82.8,86.39,85.78,95.14,72.66,94.79,91.58,90.06,78.04,82.97,82.95,83.94
